"","GSM445939","GSM445940","GSM445952","GSM445965","GSM445966","GSM445995","GSM446005","GSM446015","GSM446019","GSM446020","GSM446030","GSM446032","GSM446033","GSM446035","GSM446036","GSM446037","GSM446038","GSM446039","GSM446047","GSM446056","GSM446088","GSM446102","GSM446119","GSM446120","GSM446127","GSM446143","GSM446147","GSM445923","GSM446023","GSM446027","GSM446058","GSM446059","GSM446096","GSM446099","GSM446115","GSM446117","GSM446118","GSM446124","GSM446130","GSM446137","GSM446140","GSM446142","GSM446145","GSM446148","GSM446149","GSM446151","GSM445922","GSM445935","GSM445938","GSM445943","GSM445950","GSM445959","GSM445964","GSM445970","GSM445972","GSM445983","GSM445989","GSM445990","GSM446010","GSM446017","GSM446025","GSM446034","GSM446051","GSM446054","GSM446055","GSM446057","GSM446066","GSM446067","GSM446123","GSM446125","GSM446128","GSM446129","GSM446139","GSM446146"
"CSNK2B",9.421175549,8.240406493,9.633237218,9.987646656,9.135342972,10.0622494,8.905021444,9.704653695,9.629752465,9.503188327,9.391163624,9.558945663,9.792855327,9.230403888,9.243996624,9.435776168,9.318102106,9.617712255,10.25366651,10.05761565,10.04996289,9.746129791,9.776885106,10.02856337,10.26375566,10.15029418,9.679868801,10.17949929,9.318502311,9.779452951,9.328154134,9.61235015,9.373636644,10.09049869,9.928864463,9.891865847,9.855441188,9.944893769,9.835209102,9.72163317,10.07853358,8.844341579,9.673431921,9.699288937,10.06001441,8.494198962,10.13945313,9.408121923,9.570251583,9.617358878,9.186951083,9.433700219,9.840130805,9.821445384,9.352327162,8.953213218,8.731290113,9.303279521,8.584794989,9.402977158,8.398127907,9.683061001,9.788980662,9.857992542,9.79106979,10.12644592,9.393105034,9.900451459,9.733387978,10.15745434,9.665857692,9.903103304,9.942343266,10.05124607
"LASP1",9.305379255,7.738640344,9.405914126,9.797687264,9.574930973,9.637186485,7.590086359,9.122833145,9.973331336,8.67233493,9.619686688,9.751391771,9.497304962,8.853470314,9.676273088,10.27889655,9.029996149,10.01783398,9.90273446,9.756435708,9.46477354,9.46827979,9.586336138,10.06668058,10.06161326,9.670196111,10.29365065,10.31333836,9.856331572,10.31190177,10.06685405,9.996302673,9.504030147,9.695896135,10.01114201,9.920608099,9.9668453,9.737204252,9.618727365,9.958258991,10.11253454,8.293779296,9.513800858,10.37269232,9.673785907,9.084540844,9.970972686,8.884600448,9.355581011,9.46113542,8.965336268,8.893907578,9.073402165,9.692640749,8.947139806,8.485038905,7.746679697,8.998564322,8.63023192,8.193917642,8.344024923,9.544822279,9.026966903,8.921132898,9.128414788,9.019746743,8.464860546,9.441272147,9.689662748,9.362110794,9.028783172,8.667198101,9.265794079,9.755626774
"C14orf2",10.80784605,9.933856454,10.82640626,11.18673088,10.85174856,11.04664104,10.15343587,10.84837101,11.00834618,10.46001195,11.42660933,11.36242535,11.24189019,11.16162402,11.27207666,11.64128709,10.69727271,10.95721299,11.3575596,11.4137317,11.56921456,10.99706431,10.41101214,10.65734067,10.30953606,10.6040406,10.20262725,10.7894357,10.38291545,10.68947772,10.29639518,10.02929295,10.37433286,10.82221856,10.34158373,10.87286297,10.58171981,10.2583677,10.22214014,10.26115274,10.80589192,8.743798557,10.20241291,10.71003071,10.65396705,9.593968447,11.03071035,10.34831353,10.83783403,10.82429591,10.10513817,10.38510551,11.05925244,10.91882446,10.69154304,10.1061763,10.58285068,9.969548188,10.05304134,10.5114619,10.17894305,11.28614925,10.73415437,10.56699083,10.99127094,11.34880702,9.939874782,10.02409181,10.11901669,9.868614029,9.750528553,10.30349731,10.22387739,10.2917645
"CXCR4",8.430506681,8.945841513,7.437294349,10.05306907,9.874216025,10.54319615,7.79483909,9.555661672,8.019027068,9.747161864,8.49934954,9.402024401,8.967477354,9.538607985,9.708934892,9.15900427,9.020832471,10.90243336,10.19250664,9.3506298,9.650993157,9.557078491,9.599866445,8.837778946,9.610022163,9.756195213,10.18869182,8.744819965,9.702383279,10.60860749,9.820464718,9.481141587,9.448797406,9.610073974,7.701405245,8.630666432,7.791233383,9.109260911,9.808357646,9.863661318,9.450455069,7.418019751,8.881336588,9.127709047,9.110217826,7.506005904,10.08442386,8.183004529,8.634853726,10.35632816,8.421469155,7.976437852,10.06967286,9.048446338,8.854556169,9.322656578,9.428073903,10.21135633,8.999930762,8.602534931,7.212504592,9.385415302,8.168175329,8.79214385,8.914033592,10.14977816,9.866959808,9.785968841,9.848997225,9.596369138,8.523950638,9.596575969,9.467150128,8.260549721
"LCP1",9.52761982,9.003518913,9.778911822,10.18239046,10.12525887,10.80171112,8.32044415,10.88886972,10.6907695,9.432745665,9.270087575,9.232408171,9.99125253,9.015817134,8.9015084,9.521236852,9.802928573,10.51121295,10.28324228,10.64073431,9.245554181,9.91137758,10.31041963,10.33304813,10.70720195,10.91673615,11.38586995,11.2180398,10.16339061,11.13553218,10.70295447,10.69439675,10.23420311,10.67645075,10.31578386,10.03021126,10.17954506,10.38004216,9.953285144,10.58469149,10.71853169,9.296794497,10.28516326,10.83056644,10.68432411,9.294730062,8.844339422,8.213443952,8.893163612,8.627233021,8.151044302,8.244835185,8.221642424,8.887644991,8.033364299,7.960038485,7.41063525,7.9939726,8.08836714,8.313829219,7.72424615,8.193900581,8.792481667,7.567378618,8.895847023,9.274286125,7.160491201,8.65201105,9.332024236,8.743100411,9.59586414,9.266243859,9.52015525,9.513251616
"DEK",9.105901997,8.204949723,9.533469787,9.969837582,9.682168613,9.457275752,8.232209124,9.445856537,9.52279947,9.054308704,10.4827288,10.23182684,9.836587787,8.728608011,9.888612964,10.0456803,9.171403775,10.44625826,10.00198361,9.41417689,8.968547441,9.298309139,9.139945431,9.807207283,9.774690753,9.482719153,9.907084512,10.01298079,8.31843803,9.457883249,8.686157949,8.557238761,8.561007538,8.681640151,8.819135681,9.039384422,8.88321242,9.296476648,9.077587384,9.371525243,9.119526396,7.752300431,9.084430159,8.762990725,8.664227595,7.29888367,10.60496927,8.965088002,9.620325198,9.398523146,9.301350059,9.041075445,9.485399898,10.29800849,9.44405518,8.547303219,8.826991365,8.791635949,8.677257264,9.141770993,8.547805782,8.888384638,8.814045758,8.804591639,9.673404063,9.851777431,8.999026743,9.268010401,9.034882317,9.240217785,9.414990995,9.650721437,9.405300509,9.936365175
"MEST",10.2270971,9.396699058,10.27639229,11.77441368,8.765364266,7.609466449,10.61133905,10.71813291,9.601417633,11.72042768,10.86118696,10.49165322,8.182977261,10.45339885,8.779343675,9.007231146,9.543694578,9.077452293,12.18138984,11.42264429,12.23297981,10.42321617,10.38394794,10.87642018,11.43706788,9.069840805,7.055540454,9.345798377,9.706400807,9.995369232,8.881377162,9.921279592,8.42216607,9.748056181,10.32603936,10.68985289,9.8257172,10.15764411,9.372015272,9.749999788,9.32009307,8.396824857,8.31094943,8.701795464,9.682005781,8.489096896,10.74482618,10.23900088,9.586791955,5.507210315,9.905482071,10.02917634,10.32923014,10.56170089,9.554007603,9.570551072,8.823714733,10.03677866,7.659456001,9.677333468,9.351441421,9.605998984,6.036473074,9.997305268,10.38151835,9.697454245,9.421171178,8.705237992,9.173193544,9.846780236,9.65467178,8.904703983,9.187593212,10.0934065
"NDUFB9",10.62011338,8.396545308,10.40024644,10.48022742,10.2908416,10.00476573,9.579185269,10.42012983,10.0619498,9.636432193,10.74714457,10.89824989,10.66563062,10.23055665,10.82236286,11.26454476,10.00575129,10.64278947,10.73394733,10.9851486,10.48138082,10.13074122,9.960554205,10.2157277,10.41489263,10.23224355,9.975386814,11.24093259,9.374376869,10.4509858,9.106099533,10.41851689,9.054373861,9.505198596,9.686005625,10.17112779,10.11615603,10.16850207,10.07529438,9.976134257,10.68646881,8.427636705,10.15858252,9.255105219,9.656314208,8.399806253,10.59975721,10.11879068,10.28132419,10.03975921,9.825060102,10.79301142,10.26457351,10.5424557,10.22435541,10.47856439,9.672143183,10.20005219,9.534469921,10.43195155,9.215618474,10.8471523,10.11961463,10.29310753,10.86344912,10.64708893,10.07297889,9.958984377,10.1514855,10.45906784,9.790373242,10.4134369,10.18807225,10.8940599
"MT2A",10.21645694,8.500689763,9.863444228,9.695974152,9.936010497,11.10155842,8.468335375,9.71826721,8.872040768,9.654602968,9.224483208,10.38871398,8.368149446,10.91972336,8.859083651,8.387116451,9.552644752,9.942143283,10.88410152,12.01112565,10.15891379,10.25576679,8.976093123,9.861024057,9.335564345,10.53015813,9.568339542,10.13696842,10.98599596,12.14363973,11.09862561,11.39984563,9.351030553,9.911321506,9.381106258,9.703288705,10.51416085,9.811120452,10.09729434,10.31559929,11.04173825,8.567058471,9.313624026,9.577473613,12.34821142,9.679456974,10.87644155,9.752490771,9.441148183,11.10350568,8.51984276,9.830114793,10.00236971,9.589175057,10.53108129,11.56205072,8.914860772,9.577852485,9.549959247,9.908775718,8.940873632,10.69055617,9.681089813,11.23536625,8.956846895,10.17245894,9.160623249,9.555576364,10.34384522,9.204494227,10.35316522,9.90082216,8.973809977,9.388252192
"HSP90AB1",6.62242632,7.066112805,7.987817801,9.586369203,7.302281522,8.746241962,9.56017664,9.631613482,9.012905518,9.476059113,10.20677239,9.640232491,9.852966392,9.01035411,7.490554069,9.270230473,9.081101297,8.579304203,10.29268803,10.01983189,8.643826523,8.215207754,9.786426982,10.04368285,10.73306454,10.71785774,9.695553808,8.437428646,8.737074623,10.39580295,7.942832267,9.246849109,8.661914999,9.183660718,8.859628906,9.488028646,9.084865724,10.02418369,9.285347172,9.804915358,9.613963662,8.782945152,9.45990139,8.641405227,9.795366846,6.621349821,9.679656574,10.45156931,10.04168023,10.08785005,9.604241112,8.023749408,9.884515774,9.350081828,9.918285552,9.234476869,8.674677002,10.53719691,8.640174615,9.115916201,8.263106225,9.644941237,8.727759545,9.812826569,10.7034709,10.29203268,9.231534369,10.20409137,9.723908829,10.71862651,10.91055202,10.36935531,10.55696016,10.98062838
"C16orf54",9.716686047,8.494621689,9.349779087,9.763785175,9.919069789,9.81403094,7.656306352,10.499782,10.06108877,9.68879154,10.58265032,10.13038259,10.68491388,9.291565154,10.30213864,10.7787755,10.37301458,11.1894713,10.44768653,10.64495881,9.681134157,9.99998638,10.31635755,10.92823361,9.504308391,10.68305805,11.13917408,10.44067519,7.586361285,9.172845388,8.656496351,8.634444916,9.362034678,9.394282555,9.89018719,9.556559906,9.729556868,8.72866576,8.976235321,9.972698696,9.634673528,6.630518933,9.357450583,9.262190347,8.032529002,7.270492892,11.0717891,9.704383929,10.66596161,9.25939223,10.27705773,9.920385696,8.974498556,11.09717954,9.51849544,9.395419468,9.951443522,10.08671001,10.27806663,9.62897829,8.861564025,10.31041829,10.59745428,9.89139,10.62357156,10.24368131,9.515045402,10.35807051,10.01252901,10.06429089,10.77373744,9.001348857,9.41838607,10.95693615
"CDK2AP1",8.931888343,7.958208513,9.79874555,9.795104031,8.879114664,9.708841315,8.418564649,9.582425393,9.702500652,9.318074583,10.48284023,9.987484195,9.858950409,9.585604676,9.592508842,10.31101521,8.744832754,9.998348676,10.52239816,10.60385264,10.05096373,9.820909586,10.09029848,10.35128367,10.17060365,9.932474726,9.145786747,10.10972063,9.670856551,9.726750879,10.13303982,9.528636551,9.804666568,10.23447436,10.17776712,9.78818766,10.135994,9.686434643,9.176257253,10.10179193,10.04517601,8.227269391,9.32362516,10.79572363,9.925729285,9.129726093,8.789756996,8.610127807,8.802250164,8.996780217,8.460815826,8.495540261,8.61320366,9.335911092,9.202813481,9.721302515,8.111447585,8.642755058,7.906775563,8.876348562,7.672731948,9.446465036,9.212053135,9.042973186,8.816594819,9.858910937,8.881339253,9.1726628,9.186464478,8.707770791,8.55081476,8.515728199,9.05218374,9.398660656
"HLA-E",8.949319678,7.413231256,9.437772389,9.558325259,9.659236333,10.23581983,8.108781498,9.919802316,9.811394214,8.999355506,9.835594835,10.43702059,9.544027235,9.179558071,9.965527689,9.989170327,10.01525877,10.43753883,9.602175927,9.447308821,9.496523472,9.842257532,9.007706856,9.449427325,9.643783744,10.12917849,10.26996604,9.16634631,9.108807958,9.386947772,8.99850963,9.98285035,9.057785836,8.929024437,8.282240249,9.005232118,8.269431944,8.672923279,9.992533135,8.408185647,8.96548243,7.751653174,8.948192267,8.924578669,7.971929119,7.507545625,10.09851447,9.705262647,9.205127641,11.21286861,9.836295633,9.981269677,10.02894094,9.485038879,10.00347345,9.12868179,8.964562349,10.4916184,9.41761295,9.724943674,8.553307629,10.39378399,8.577941521,9.867508835,10.31836406,10.22244717,10.07783032,10.13695977,9.665642639,10.03207079,10.38914363,10.65426532,10.80271298,9.82518871
"JUNB",9.224696092,7.456205647,9.55418415,9.17488523,10.07086973,10.3772245,9.20116095,8.870390417,9.393824865,9.549969049,9.667929283,9.391436744,9.983735958,10.3957479,9.619861686,9.099179994,10.22892411,10.2905354,11.25452433,10.6979826,10.70000782,11.91831911,10.4280463,10.95202049,10.17279782,10.07576533,10.2135331,9.223114197,8.511669612,9.4380028,9.479656106,10.46848751,9.576845092,10.33928662,8.517101147,8.954667568,9.087064011,7.913484011,9.470159796,8.679018879,9.771207757,7.066735752,8.437001034,9.762338374,9.809631681,7.504212224,9.761314748,9.050519109,9.122083054,8.850037025,9.018687812,8.96700476,9.587778952,8.99820762,8.994307792,9.768108222,8.251794558,10.38703306,9.164218903,9.975467253,7.092442547,9.957716141,9.763088875,10.40650812,10.14647361,10.52313114,10.43114666,10.76855324,10.91279379,9.917489176,9.197725566,9.887853584,10.62866314,9.629944288
"NOP58",9.729856478,9.099248601,9.831974109,9.70168373,9.340085476,8.640117141,9.314931182,9.086447432,8.996681117,9.018219757,9.960064622,9.625510282,10.11506577,9.17400831,9.56732728,9.241937244,8.735552064,9.313090503,9.706885038,9.643167438,9.390369127,9.999860755,9.412767132,9.923470176,9.44075225,9.209217266,9.610193245,9.853484572,9.658040807,9.94233653,9.432750529,9.593121998,9.795851393,9.796807058,9.597929366,9.959927157,9.76030679,9.64867752,9.488183249,9.720367718,9.706393483,8.484388563,9.578085591,10.07041365,9.577368588,8.65881387,10.66635815,9.932804524,10.01222615,9.987180835,9.206892881,10.36252353,9.901473742,10.4270781,9.684954303,9.146235398,9.674686059,9.756822198,9.302566544,9.770339563,8.739624281,9.602339416,10.13980606,9.555956329,9.556244841,9.522383566,9.78875445,9.797329806,9.143582345,9.811832843,10.13671174,9.415391586,9.405568504,10.35557905
"TPSB2",10.89503347,8.248861553,9.871085282,10.00158288,8.485986887,7.771117755,8.73520142,10.19377317,10.93277628,10.35480859,7.5005932,8.468592836,6.473680269,9.446515459,8.165385888,7.838151087,11.79899386,8.376680597,11.4933654,11.08142567,8.927137431,12.34402531,11.26764756,11.88889913,9.501726186,8.167953149,10.7632058,10.23152952,9.317380171,6.319383999,10.03857998,12.1224643,11.43569387,11.37241554,9.706962649,9.889496658,10.57161196,9.54842202,9.413929803,9.37259402,10.03802476,6.632050888,9.857211861,8.82581224,8.843782238,11.41741629,8.711411685,8.285043034,9.908414353,13.43131075,11.22939247,11.68420299,12.12638094,11.25233489,12.08497008,7.53615212,8.39231023,12.49568384,9.743040762,10.46794713,7.012254599,12.1367871,11.20482172,12.3927597,8.762544285,9.061844953,11.28788772,12.77346894,9.498539062,10.77040769,9.505715842,11.20248855,9.989117389,11.14767158
"EIF3G",10.27671228,8.826251782,10.37030461,10.44054783,10.18188255,10.00141719,9.680056858,10.51055309,10.46484176,9.733674152,10.17458263,10.32551471,10.22644406,9.745575911,10.02110769,10.01008341,10.29801693,10.63536934,10.5931352,10.25807204,10.46023984,10.24353538,10.10578066,10.22293462,10.43409721,10.38873159,9.89933842,10.15590709,9.621023187,9.924307236,8.954446269,9.412338423,9.366536882,9.806403003,9.820436842,9.988283368,9.702256684,9.665913034,9.816371507,9.550579119,9.567446825,8.716209317,9.381057499,9.734768332,9.599045904,8.415235317,10.37669319,9.915652729,9.585755856,10.22908509,9.397124637,10.01328967,10.16124671,10.17576712,9.973283348,10.14154591,9.383656885,10.32556771,9.524904812,10.13423371,8.845215651,10.14569514,9.622943316,10.29849339,10.34492792,10.53371974,9.587997963,9.699250271,9.958496263,10.20337654,10.04793262,10.46728148,10.18386525,10.2137873
"ISCU",9.548247463,8.521969913,9.334163113,9.462201387,9.355701425,9.693250272,9.176638299,9.207094222,9.142234693,8.460390719,10.24234347,9.844945155,9.896984681,9.476945027,10.67080267,10.14135327,9.344960814,10.38739556,9.94290379,9.781551871,9.534834422,9.522847339,9.358931812,9.254920386,9.632517109,9.288050004,10.03631887,10.16003633,9.662310872,10.00757093,9.711448201,10.01844914,9.615066178,9.672684383,9.767751399,9.630058961,9.780632652,9.877834557,10.22515097,9.49131117,10.13018137,8.128408903,9.483075894,9.520624576,9.778830801,8.478462796,10.22297271,9.550133455,9.352391747,9.848668791,9.389383964,9.513442814,9.801185201,9.989127666,10.11568107,9.892436722,9.740519212,9.389714715,9.366070147,8.871974994,8.46145794,9.534324781,9.5647025,9.430553224,9.58409059,9.551988887,9.882676788,9.344801456,9.349771906,9.40624291,9.279954368,9.752889007,9.719826008,9.407442431
